iter	Passed	Remaining
0	143	143307
1	145	72768
2	148	49209
3	149	37292
4	151	30140
5	153	25358
6	154	21929
7	155	19322
8	157	17294
9	158	15670
10	159	14342
11	160	13233
12	161	12281
13	162	11463
14	163	10769
15	165	10150
16	166	9604
17	167	9122
18	168	8681
19	169	8283
20	169	7924
21	170	7597
22	171	7299
23	172	7027
24	173	6777
25	174	6539
26	175	6318
27	176	6113
28	176	5921
29	177	5742
30	178	5575
31	179	5422
32	179	5273
33	180	5133
34	181	5000
35	182	4875
36	182	4755
37	183	4642
38	184	4535
39	184	4433
40	185	4337
41	186	4243
42	186	4153
43	187	4068
44	187	3986
45	188	3908
46	189	3833
47	189	3761
48	190	3692
49	190	3626
50	191	3562
51	192	3501
52	192	3442
53	193	3387
54	194	3334
55	194	3282
56	195	3231
57	195	3182
58	196	3134
59	197	3088
60	197	3044
61	198	3001
62	198	2959
63	199	2918
64	200	2879
65	200	2841
66	201	2804
67	201	2764
68	202	2729
69	202	2695
70	203	2662
71	204	2630
72	204	2598
73	205	2568
74	205	2539
75	206	2510
76	207	2481
77	207	2454
78	208	2427
79	208	2402
80	209	2376
81	210	2351
82	210	2327
83	211	2303
84	211	2278
85	212	2256
86	212	2231
87	213	2210
88	213	2189
89	214	2169
90	215	2148
91	215	2128
92	216	2109
93	216	2090
94	217	2071
95	218	2053
96	218	2035
97	219	2018
98	219	2001
99	220	1984
100	221	1967
101	221	1949
102	221	1933
103	222	1917
104	223	1902
105	223	1887
106	224	1872
107	225	1858
108	225	1844
109	226	1830
110	226	1816
111	227	1803
112	227	1789
113	228	1776
114	229	1763
115	229	1749
116	230	1737
117	230	1725
118	231	1712
119	231	1700
120	232	1689
121	233	1677
122	233	1664
123	234	1653
124	234	1642
125	235	1631
126	235	1620
127	236	1608
128	236	1598
129	237	1588
130	237	1578
131	238	1568
132	239	1558
133	239	1549
134	240	1540
135	240	1530
136	241	1521
137	242	1511
138	242	1502
139	243	1494
140	243	1485
141	244	1476
142	244	1468
143	245	1459
144	246	1451
145	246	1443
146	247	1435
147	247	1427
148	248	1419
149	249	1411
150	249	1404
151	250	1396
152	250	1389
153	251	1383
154	252	1376
155	253	1368
156	253	1362
157	254	1355
158	254	1347
159	255	1341
160	256	1334
161	256	1327
162	257	1321
163	257	1314
164	258	1307
165	259	1301
166	259	1295
167	260	1288
168	260	1282
169	261	1276
170	262	1270
171	262	1264
172	263	1258
173	263	1252
174	264	1246
175	265	1241
176	265	1235
177	266	1230
178	266	1224
179	267	1218
180	267	1211
181	268	1206
182	269	1201
183	269	1195
184	270	1190
185	270	1185
186	271	1179
187	272	1174
188	272	1169
189	273	1164
190	273	1159
191	274	1154
192	274	1149
193	275	1144
194	276	1139
195	276	1135
196	277	1130
197	277	1125
198	278	1120
199	279	1116
200	279	1111
201	280	1107
202	280	1102
203	281	1098
204	282	1093
205	282	1089
206	283	1085
207	283	1080
208	284	1076
209	285	1072
210	285	1068
211	286	1063
212	286	1059
213	287	1055
214	287	1051
215	288	1047
216	289	1043
217	289	1039
218	290	1035
219	290	1031
220	291	1027
221	292	1023
222	292	1019
223	293	1015
224	293	1012
225	294	1008
226	294	1004
227	295	1000
228	296	997
229	296	993
230	297	989
231	297	986
232	298	983
233	299	979
234	299	976
235	300	973
236	301	969
237	301	966
238	302	962
239	302	959
240	303	955
241	304	952
242	304	949
243	305	945
244	305	942
245	306	939
246	307	936
247	307	932
248	308	930
249	309	927
250	309	924
251	310	921
252	311	918
253	311	915
254	312	912
255	312	909
256	313	906
257	314	903
258	314	900
259	315	897
260	315	894
261	316	891
262	317	888
263	317	885
264	318	882
265	318	879
266	319	877
267	320	874
268	320	871
269	321	868
270	321	865
271	322	863
272	323	860
273	323	858
274	324	855
275	325	853
276	325	850
277	326	847
278	327	845
279	327	842
280	328	840
281	328	837
282	329	835
283	330	832
284	330	830
285	331	827
286	332	825
287	332	822
288	333	820
289	334	817
290	334	815
291	335	813
292	336	810
293	337	809
294	337	807
295	338	805
296	339	803
297	339	800
298	340	798
299	341	795
300	341	793
301	342	791
302	342	788
303	343	786
304	344	784
305	344	781
306	345	779
307	345	777
308	346	774
309	347	772
310	347	770
311	348	768
312	348	765
313	349	763
314	349	761
315	350	758
316	351	756
317	351	754
318	352	752
319	352	749
320	353	747
321	354	745
322	354	743
323	355	741
324	355	738
325	356	736
326	357	734
327	357	732
328	358	730
329	358	728
330	359	726
331	360	724
332	360	722
333	361	720
334	361	718
335	362	716
336	363	714
337	363	712
338	364	710
339	364	708
340	365	706
341	366	704
342	366	702
343	367	700
344	367	698
345	368	696
346	368	694
347	369	692
348	370	690
349	370	688
350	371	686
351	371	684
352	372	682
353	372	680
354	373	678
355	374	676
356	374	674
357	375	673
358	375	671
359	376	669
360	377	667
361	377	665
362	378	663
363	378	661
364	379	660
365	380	658
366	380	656
367	381	654
368	381	652
369	382	651
370	383	649
371	383	647
372	384	645
373	384	644
374	385	642
375	386	640
376	386	638
377	387	637
378	387	635
379	388	633
380	388	631
381	389	630
382	390	628
383	390	626
384	391	625
385	391	623
386	392	621
387	393	620
388	394	618
389	394	617
390	395	615
391	395	613
392	396	612
393	397	610
394	397	609
395	398	607
396	398	605
397	399	604
398	399	602
399	400	600
400	401	599
401	401	597
402	402	596
403	402	594
404	403	592
405	404	591
406	404	589
407	405	588
408	406	586
409	406	585
410	407	583
411	407	581
412	408	580
413	409	578
414	409	577
415	410	575
416	410	574
417	411	572
418	411	571
419	412	569
420	413	568
421	413	566
422	414	565
423	415	563
424	415	562
425	416	560
426	416	559
427	417	557
428	418	556
429	418	555
430	419	553
431	419	552
432	420	550
433	421	549
434	421	547
435	422	546
436	422	544
437	423	543
438	424	541
439	424	540
440	425	539
441	425	537
442	426	536
443	427	534
444	427	533
445	428	532
446	428	530
447	429	529
448	430	527
449	430	526
450	431	525
451	431	523
452	432	522
453	433	520
454	433	519
455	434	518
456	434	516
457	435	515
458	436	513
459	436	512
460	437	511
461	437	510
462	438	508
463	439	507
464	439	506
465	440	504
466	441	503
467	441	502
468	442	500
469	442	499
470	443	498
471	444	496
472	444	495
473	445	494
474	445	492
475	446	491
476	447	490
477	447	488
478	448	487
479	448	486
480	449	484
481	449	483
482	450	482
483	451	480
484	451	479
485	452	478
486	453	477
487	453	475
488	454	474
489	454	473
490	455	472
491	455	470
492	456	469
493	457	468
494	457	466
495	458	465
496	458	464
497	459	463
498	460	461
499	460	460
500	461	459
501	461	458
502	462	456
503	462	455
504	463	454
505	464	453
506	464	451
507	465	450
508	466	449
509	466	448
510	467	447
511	467	445
512	468	444
513	469	443
514	469	442
515	470	441
516	470	439
517	471	438
518	472	437
519	472	436
520	473	435
521	473	433
522	474	432
523	475	431
524	475	430
525	476	429
526	476	427
527	477	426
528	477	425
529	478	424
530	479	423
531	479	422
532	480	420
533	480	419
534	481	418
535	482	417
536	482	416
537	483	415
538	483	413
539	484	412
540	485	411
541	485	410
542	486	409
543	486	408
544	487	406
545	488	405
546	488	404
547	489	403
548	489	402
549	490	401
550	490	400
551	491	398
552	492	397
553	492	396
554	493	395
555	493	394
556	494	393
557	495	392
558	495	391
559	496	390
560	496	388
561	497	387
562	498	386
563	498	385
564	499	384
565	499	383
566	500	382
567	501	381
568	501	379
569	502	378
570	502	377
571	503	376
572	504	375
573	504	374
574	505	373
575	505	372
576	506	371
577	506	370
578	507	369
579	508	367
580	508	366
581	509	365
582	509	364
583	510	363
584	511	362
585	511	361
586	512	360
587	512	359
588	513	358
589	514	357
590	514	356
591	515	355
592	515	354
593	516	352
594	516	351
595	517	350
596	518	349
597	518	348
598	519	347
599	519	346
600	520	345
601	521	344
602	521	343
603	522	342
604	522	341
605	523	340
606	524	339
607	524	338
608	525	337
609	525	336
610	526	335
611	527	334
612	527	333
613	528	332
614	528	331
615	529	330
616	530	329
617	530	328
618	531	327
619	531	325
620	532	324
621	533	323
622	533	322
623	534	321
624	534	320
625	535	319
626	535	318
627	536	317
628	537	316
